id,host_id,host_name,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_verifications,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
20197910,1557835,Lenneke,Hi i am Lenneke and i live in the city centre of Amsterdam. We have 2 rooms on airbnb on the first and the ground floor in an old historic building. I just renovated the ground floor with the help of my brother. We tried to build a lovely home away from home for you. I love to live in the city centre with everything just around the corner. I live in Amsterdam for more than 20 years now. So ask me anything i know the nice places to go! I am the manager of several tv hosts in the Netherlands and am the proud owner of yoga studio Bluebirds. 2 studio's are on walking distance if you would like to join a class! Would love to welcome you in one of our rooms. Love Lenneke,within an hour,100%,100%,"['email', 'phone']",Centrum-Oost,Private room in loft,Private room,2,1 private bath,1,$155.00 ,110,4.65,4.75,4.36,4.95,4.9,4.98,4.45
696334061523511009,19336832,Max,,within a day,100%,40%,"['email', 'phone']",Oud-Oost,Entire condo,Entire home/apt,2,1.5 baths,1,$170.00 ,7,4.86,5,4.71,5,5,4.57,4.14
915003030359481568,121291199,Robin,,within a day,90%,99%,"['email', 'phone']",Watergraafsmeer,Room in hotel,Private room,2,1 bath,1,$115.00 ,10,4.2,4.7,4.4,4,4,3.6,3.9
924565554428798665,159191492,Bas,,within an hour,100%,83%,"['email', 'phone']",De Baarsjes - Oud-West,Entire home,Entire home/apt,2,1 bath,1,$350.00 ,5,5,5,5,5,5,5,4.8
28516161,16235182,Alfred,"Ik ben getrouwd en heb twee dochters, die inmiddels het huis uit zijn. ",within an hour,100%,64%,"['email', 'phone']",IJburg - Zeeburgereiland,Private room in villa,Private room,2,1 private bath,1,$103.00 ,34,4.97,4.94,4.94,4.97,5,4.68,4.71
50188336,311321908,Melrose Hotel,,within an hour,100%,100%,"['email', 'phone']",Centrum-West,Room in hotel,Private room,2,1 bath,1,$127.00 ,12,4.08,4.08,3.92,3.92,4.25,4.5,3.5
27711659,203731852,Sweets,"SWEETS hotel is a one-of-a-kind hotel located across Amsterdam in 28 different bridge houses. Each bridge house has been transformed into an independent hotel suite that accommodates a maximum of two guests.

For centuries, Amsterdam’s bridge houses accommodated the city’s many bridge keepers who were responsible for opening the impressive structures for passing water traffic. With building dates between 1673 and 2009, the bridge houses carry an extensive history. Visiting them in chronological order is like a journey through time: their various architectural styles reveal how the city developed and grew, when new quarters were built and even how people thought about city development at that time.

With the hotel room interiors, SWEETS hotel offers guests a unique and comfortable living space, while keeping the history of every bridge house in mind. All bridge houses are different, and so are the interiors. Every SWEET accommodates up to two adults and contains a kingsize double bed, a bathroom and coffee and tea facilities.

SWEETS hotel, first initiated in 2012 as an urban space project, is 8 years in the making. Over half of the 28 bridge houses are currently available for reservations, with more coming soon.

SWEETS hotel is an initiative and co-creation of the architecture office Space&Matter (known for De Ceuvel, an ecological hub), project development partner Grayfield and Suzanne Oxenaar and Otto Nan of Seven New Things, founders of Lloyd Hotel & Cultural Embassy (the world’s first 1- to 5-star hotel) and Hotel The Exchange.",within an hour,100%,99%,"['email', 'phone']",Westerpark,Room in serviced apartment,Hotel room,2,1 private bath,1,$167.00 ,77,4.74,4.83,4.88,4.91,4.9,4.66,4.53
49940100,401163260,Q-Factory,,within an hour,98%,99%,"['email', 'phone']",Oud-Oost,Room in hotel,Private room,2,1 private bath,1,$107.00 ,2,5,4.5,5,4.5,4.5,4.5,5
683774810810737061,472668180,Jessica,"I am a South African living in Amsterdam. My husband and I love experiencing new places, cultures and tastes. We are new parents to a beautiful baby girl and love taking her on our adventures - sometimes our toy Pomeranian, Hatchi, joins as well!",within a day,100%,100%,"['email', 'phone']",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,4,1.5 baths,3,$625.00 ,4,5,5,4.25,5,5,5,5
5836359,12379807,Bas,"Ik ben Bas, ik woon in het centrum van Amsterdam en werk in de jeugdzorg. Ik ben zelf regelmatig een paar dagen of weekend weg en verhuur dan mijn ruimte. Ik hou zelf van koken, muziek, kunst, theater, natuur. 
Ik eet geen vlees, vroeger was ik echt vegetarier maar tegenwoordig eet ik wel (duurzaam gevangen) vis. 
",N/A,N/A,86%,"['email', 'phone']",Centrum-Oost,Entire rental unit,Entire home/apt,2,1 bath,1,$136.00 ,109,4.82,4.84,4.65,4.95,4.97,4.69,4.7
668473085024613390,9490111,Anne,,N/A,N/A,N/A,"['email', 'phone']",De Baarsjes - Oud-West,Entire townhouse,Entire home/apt,4,1.5 baths,4,$500.00 ,5,4.8,4.8,4.4,5,5,5,4.4
1023788053036970784,18411808,António,,within an hour,100%,100%,"['email', 'phone']",Oud-Oost,Entire rental unit,Entire home/apt,2,1 bath,1,$170.00 ,1,5,5,5,5,5,5,5
1366513,6351011,Olga,"I am an expat from Chicago, living in Amsterdam since late 2009, whre I teach sociology at the University of Amsterdam,",N/A,N/A,67%,"['email', 'phone', 'work_email']",Zuid,Entire rental unit,Entire home/apt,3,2 baths,2,$250.00 ,21,4.95,4.9,4.95,4.95,5,4.71,4.81
8725786,14191211,Lydia,"Love for travel, very easy going and respectful. ",within an hour,100%,100%,"['email', 'phone', 'work_email']",Oud-Oost,Entire rental unit,Entire home/apt,4,1.5 baths,2,$249.00 ,52,4.94,4.94,4.88,4.9,4.94,4.74,4.7
710546230270239523,66554677,Alix,,N/A,N/A,91%,"['email', 'phone']",De Baarsjes - Oud-West,Entire condo,Entire home/apt,4,1 bath,2,"$1,049.00 ",13,4.85,4.92,5,4.77,5,5,4.46
862235581186436160,44238212,Ben,,within a day,57%,38%,"['email', 'phone']",Oostelijk Havengebied - Indische Buurt,Entire rental unit,Entire home/apt,4,1 bath,2,$250.00 ,1,5,5,5,5,5,5,5
45600909,14574533,Hotel Not Hotel,"Hotel Not Hotel Amsterdam is a place where a room isn’t just a room, but a work of art with its own creator, story, and identity. Most of them designed and specially made by Collaboration-O, a group of young designers that originated from the Eindhoven Design Academy, and one by Arno Coenen and his partner IRIS.

When you wake up, you step into an art-filled, exhibition-like space instead of an anonymous lobby or hallway. The entire hotel is one big living room, with cosy seating areas between the cottages. Combined with our luxury beds and other facilities, Hotel Not Hotel offers an unrivalled experience. 
Besides all this, we feel that the value of a city lies in experiencing its local day-to-day life. As we are closely connected to Amsterdam and its numerous creative entrepreneurs, we know where to send you for a night on the town, a hidden culinary gem, or an upcoming artist’s exhibition. 

The bar connected to Hotel Not Hotel is called Kevin Bacon. Just like the actor, the bar has zero pretention, it always delivers, and it makes sure everybody has a good time.

Kevin Bacon is not your typical hotel bar. It’s where locals get their morning coffee or a quick breakfast. It’s where friends meet for a cocktail or a beer before diving into the nightlife, and where hotel guests let their hair down after a long day in the city.

When the weather is good, the ‘Whitey the White’ terrace is sunny like a perfectly fried egg. The staff’s friendly attitude shines all year round.

",within an hour,99%,99%,"['email', 'phone']",De Baarsjes - Oud-West,Private room in bed and breakfast,Private room,4,1 shared bath,3,$164.00 ,31,4.81,4.81,4.77,4.94,4.81,4.77,4.71
6057672,11298369,Maartje,,N/A,N/A,N/A,"['email', 'phone']",Bos en Lommer,Entire rental unit,Entire home/apt,3,1 bath,2,$125.00 ,24,4.96,5,4.92,5,5,4.79,4.79
45615322,14574533,Hotel Not Hotel,"Hotel Not Hotel Amsterdam is a place where a room isn’t just a room, but a work of art with its own creator, story, and identity. Most of them designed and specially made by Collaboration-O, a group of young designers that originated from the Eindhoven Design Academy, and one by Arno Coenen and his partner IRIS.

When you wake up, you step into an art-filled, exhibition-like space instead of an anonymous lobby or hallway. The entire hotel is one big living room, with cosy seating areas between the cottages. Combined with our luxury beds and other facilities, Hotel Not Hotel offers an unrivalled experience. 
Besides all this, we feel that the value of a city lies in experiencing its local day-to-day life. As we are closely connected to Amsterdam and its numerous creative entrepreneurs, we know where to send you for a night on the town, a hidden culinary gem, or an upcoming artist’s exhibition. 

The bar connected to Hotel Not Hotel is called Kevin Bacon. Just like the actor, the bar has zero pretention, it always delivers, and it makes sure everybody has a good time.

Kevin Bacon is not your typical hotel bar. It’s where locals get their morning coffee or a quick breakfast. It’s where friends meet for a cocktail or a beer before diving into the nightlife, and where hotel guests let their hair down after a long day in the city.

When the weather is good, the ‘Whitey the White’ terrace is sunny like a perfectly fried egg. The staff’s friendly attitude shines all year round.

",within an hour,99%,99%,"['email', 'phone']",De Baarsjes - Oud-West,Private room in bed and breakfast,Private room,2,0 shared baths,1,$79.00 ,32,4.47,4.59,4.66,4.91,4.69,4.38,4.13
41716106,3962231,Bing,"I’m a born and raised Dutchman, 38 years old and have been living in Amsterdam for the past 10 years. I work in the design industry, love being outdoors and playing sports like kitesurfing, mountain biking or running. 

I speak Dutch English, German, French, Spanish and Mandarin. However I must admit, the Mandarin is a little rusty :).",within an hour,100%,60%,"['email', 'phone', 'work_email']",Oostelijk Havengebied - Indische Buurt,Entire loft,Entire home/apt,4,2.5 baths,2,$800.00 ,9,5,5,5,5,5,4.89,5
673833974818554933,406547562,Rene,,within a few hours,100%,75%,"['email', 'phone']",Oostelijk Havengebied - Indische Buurt,Entire rental unit,Entire home/apt,4,1 bath,3,$275.00 ,1,5,4,5,4,5,4,5
35632344,251479377,Generator,"Generator Amsterdam is located in the up-and-coming eastern side of the city, overlooking Oosterpark. This former zoological university building can accommodate 564 guests in 168 twin and quadruple rooms, with en-suite bathrooms and incredible views of the surrounding area. There is also one luxury apartment for six people, with views of the park and a self-catered kitchen. It has flexible and spacious social areas, filled with creative design touches like glass-fronted elevators, a light and airy café and an outdoor terrace. We’ve turned the former lecture hall into an impressive chill-out lounge and bar, while the old library is now a relaxation and private events room. The basement and café are now dining destinations and the original boiler room has become a secret late night bar.

",within an hour,97%,99%,"['email', 'phone']",Oud-Oost,Private room in hostel,Private room,4,1 shared bath,4,$145.00 ,977,4.59,4.7,4.57,4.78,4.68,4.59,4.47
45052408,363449935,Conscious Hotel Museum Square,"We are conscious about the choices we make. That is why there is sustainability in everything that we do, without compromising comfort. And our stylish hotels and restaurants each have their own unique style and story, which makes every visit a special experience. We do it differently by nature.

We have been around for over 10 years now, making us pioneers in eco-friendly tourism.

We do it differently by combining stylish design and playfulness with sustainability, calling it Eco-Sexy. This is felt throughout your entire stay. From small notes in the rooms that tell guests about the recycled furniture and water-saving showers to every bite and drink that are served being fully organic. There is no stopping us delivering the eco choice while maintaining a high level of comfort.",within an hour,97%,100%,"['email', 'phone']",Zuid,Room in boutique hotel,Private room,2,1 bath,1,$237.00 ,10,4.4,4.3,4.7,4.1,4.3,4.7,4.1
33980766,244695471,Heye 130,,within an hour,98%,100%,"['email', 'phone', 'work_email']",De Baarsjes - Oud-West,Room in boutique hotel,Hotel room,3,1 bath,2,$132.00 ,181,4.62,4.72,4.72,4.78,4.71,4.66,4.45
33439715,244695471,Heye 130,,within an hour,98%,100%,"['email', 'phone', 'work_email']",De Baarsjes - Oud-West,Room in boutique hotel,Hotel room,4,1 bath,3,$141.00 ,160,4.72,4.73,4.78,4.84,4.81,4.73,4.58
4969675,21077937,Hanneke,,N/A,N/A,N/A,"['email', 'phone']",Noord-Oost,Entire townhouse,Entire home/apt,4,2 baths,3,$175.00 ,16,4.81,4.81,4.63,4.93,4.93,4.67,4.6
975811311630497343,37493640,Sam,Lawyer in Amsterdam,within an hour,100%,33%,"['email', 'phone']",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.5 baths,1,$225.00 ,1,5,5,5,5,5,5,5
5401946,10742904,Daphne,,N/A,N/A,86%,"['email', 'phone', 'work_email']",Watergraafsmeer,Entire condo,Entire home/apt,4,1 bath,3,$350.00 ,82,4.88,4.9,4.91,4.96,4.98,4.63,4.66
633667776128856310,57625783,Andreas,,N/A,N/A,100%,"['email', 'phone']",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1 bath,1,$135.00 ,0,,,,,,,
38170726,281658595,The July,,within an hour,75%,100%,"['email', 'phone']",Westerpark,Private room in serviced apartment,Private room,2,1 bath,1,$177.00 ,51,4.92,4.9,4.94,4.88,4.88,4.24,4.67
22757307,11538527,Willemijn,"My house, organic lifestyle, (healthy) cooking, pottery, documentaries, (vegetable) garden, traveling are things that keep me busy. As graphic designer I make mostly websites. I love to share this special place. Feel welcome.",within an hour,100%,100%,"['email', 'phone']",Oud-Noord,Private room in bed and breakfast,Private room,4,1 private bath,2,$135.00 ,234,4.97,4.95,4.97,4.98,4.98,4.75,4.85
1033166160269833082,523531069,Pascal,,N/A,N/A,N/A,"['email', 'phone']",Oud-Oost,Entire rental unit,Entire home/apt,2,1 bath,1,$180.00 ,0,,,,,,,
45615057,14574533,Hotel Not Hotel,"Hotel Not Hotel Amsterdam is a place where a room isn’t just a room, but a work of art with its own creator, story, and identity. Most of them designed and specially made by Collaboration-O, a group of young designers that originated from the Eindhoven Design Academy, and one by Arno Coenen and his partner IRIS.

When you wake up, you step into an art-filled, exhibition-like space instead of an anonymous lobby or hallway. The entire hotel is one big living room, with cosy seating areas between the cottages. Combined with our luxury beds and other facilities, Hotel Not Hotel offers an unrivalled experience. 
Besides all this, we feel that the value of a city lies in experiencing its local day-to-day life. As we are closely connected to Amsterdam and its numerous creative entrepreneurs, we know where to send you for a night on the town, a hidden culinary gem, or an upcoming artist’s exhibition. 

The bar connected to Hotel Not Hotel is called Kevin Bacon. Just like the actor, the bar has zero pretention, it always delivers, and it makes sure everybody has a good time.

Kevin Bacon is not your typical hotel bar. It’s where locals get their morning coffee or a quick breakfast. It’s where friends meet for a cocktail or a beer before diving into the nightlife, and where hotel guests let their hair down after a long day in the city.

When the weather is good, the ‘Whitey the White’ terrace is sunny like a perfectly fried egg. The staff’s friendly attitude shines all year round.

",within an hour,99%,99%,"['email', 'phone']",De Baarsjes - Oud-West,Private room in bed and breakfast,Private room,2,0 shared baths,1,$79.00 ,58,4.38,4.4,4.29,4.76,4.69,4.48,4.34
45372746,363404652,Conscious Hotel The Tire Station,"We are conscious about the choices we make. That is why there is sustainability in everything that we do, without compromising comfort. And our stylish hotels and restaurants each have their own unique style and story, which makes every visit a special experience. We do it differently by nature.

We have been around for over 10 years now, making us pioneers in eco-friendly tourism.

We do it differently by combining stylish design and playfulness with sustainability, calling it Eco-Sexy. This is felt throughout your entire stay. From small notes in the rooms that tell guests about the recycled furniture and water-saving showers to every bite and drink that are served being fully organic. There is no stopping us delivering the eco choice while maintaining a high level of comfort.",within an hour,99%,100%,"['email', 'phone']",De Baarsjes - Oud-West,Room in boutique hotel,Private room,2,1 bath,2,$97.00 ,211,4.8,4.85,4.89,4.75,4.81,4.68,4.63
38278551,93743075,Edwin,Ik woon op de woonboot met een suite voor de verhuur.,within an hour,80%,100%,"['email', 'phone', 'work_email']",Centrum-Oost,Room in bed and breakfast,Hotel room,4,1 shared bath,3,$258.00 ,50,4.86,4.68,4.78,4.66,4.48,4.96,4.54
25851081,1209324,Sanne,"I'm a lighting consultant and lighting artist. 37 years old, dutch, living in Amsterdam.",within a few hours,100%,65%,"['email', 'phone']",Centrum-Oost,Entire townhouse,Entire home/apt,2,2 baths,1,$320.00 ,6,5,5,4.67,4.83,5,5,5
994918760658701052,52752092,Maxim,,within an hour,100%,100%,"['email', 'phone', 'work_email']",Centrum-Oost,Entire home,Entire home/apt,4,1 bath,2,$250.00 ,2,5,5,4.5,5,5,5,5
45051990,363449935,Conscious Hotel Museum Square,"We are conscious about the choices we make. That is why there is sustainability in everything that we do, without compromising comfort. And our stylish hotels and restaurants each have their own unique style and story, which makes every visit a special experience. We do it differently by nature.

We have been around for over 10 years now, making us pioneers in eco-friendly tourism.

We do it differently by combining stylish design and playfulness with sustainability, calling it Eco-Sexy. This is felt throughout your entire stay. From small notes in the rooms that tell guests about the recycled furniture and water-saving showers to every bite and drink that are served being fully organic. There is no stopping us delivering the eco choice while maintaining a high level of comfort.",within an hour,97%,100%,"['email', 'phone']",Zuid,Room in boutique hotel,Private room,2,1 bath,1,$175.00 ,31,4.81,4.84,4.84,4.81,4.74,4.81,4.61
51750498,77583944,Valentijn,,within a few hours,100%,100%,"['email', 'phone', 'work_email']",Centrum-Oost,Entire condo,Entire home/apt,4,1.5 baths,2,$500.00 ,2,4.5,4.5,4.5,5,5,4,4
49821276,398261845,Singel,,within an hour,100%,100%,"['email', 'phone']",Centrum-West,Room in boutique hotel,Private room,1,1 private bath,1,$99.00 ,89,4.8,4.88,4.85,4.92,4.88,4.89,4.48
833937861552341248,107451990,Marit,,within an hour,100%,100%,"['email', 'phone']",De Pijp - Rivierenbuurt,Private room in houseboat,Private room,2,1 private bath,1,$175.00 ,7,5,4.57,5,5,5,4.71,4.29
256670,1350388,Stefan En Annemiek,"We are a family of 4 people. Annemiek is a journalist and writes children's literature.  Fenice (22 years old) and Mare (18) are our daughters. I'm an architect and urban designer at Studio Vinke, my own company.
Since 1997 we live in Amsterdam.

Information about our work: Linkedin, Annemiek Neefjes or Stefan Bödecker",N/A,N/A,33%,"['email', 'phone']",De Baarsjes - Oud-West,Entire condo,Entire home/apt,4,3.5 baths,6,$420.00 ,8,4.63,4.5,4.63,4.75,4.88,4.75,4.5
254800,1337537,Diederik,"Hi, take a look at the pictures and read the description - and feel free to get in touch if you have questions or want to book. I look forward to hear from you!",N/A,N/A,N/A,"['email', 'phone', 'work_email']",Centrum-West,Entire rental unit,Entire home/apt,2,1.5 baths,1,$296.00 ,63,4.94,4.94,4.87,4.98,4.94,5,4.67
661581385065964230,462392932,Rutger,,N/A,N/A,56%,['phone'],De Baarsjes - Oud-West,Entire condo,Entire home/apt,2,1.5 baths,1,$330.00 ,9,4.89,4.78,5,4.89,4.89,4.67,4.67
2861667,14574533,Hotel Not Hotel,"Hotel Not Hotel Amsterdam is a place where a room isn’t just a room, but a work of art with its own creator, story, and identity. Most of them designed and specially made by Collaboration-O, a group of young designers that originated from the Eindhoven Design Academy, and one by Arno Coenen and his partner IRIS.

When you wake up, you step into an art-filled, exhibition-like space instead of an anonymous lobby or hallway. The entire hotel is one big living room, with cosy seating areas between the cottages. Combined with our luxury beds and other facilities, Hotel Not Hotel offers an unrivalled experience. 
Besides all this, we feel that the value of a city lies in experiencing its local day-to-day life. As we are closely connected to Amsterdam and its numerous creative entrepreneurs, we know where to send you for a night on the town, a hidden culinary gem, or an upcoming artist’s exhibition. 

The bar connected to Hotel Not Hotel is called Kevin Bacon. Just like the actor, the bar has zero pretention, it always delivers, and it makes sure everybody has a good time.

Kevin Bacon is not your typical hotel bar. It’s where locals get their morning coffee or a quick breakfast. It’s where friends meet for a cocktail or a beer before diving into the nightlife, and where hotel guests let their hair down after a long day in the city.

When the weather is good, the ‘Whitey the White’ terrace is sunny like a perfectly fried egg. The staff’s friendly attitude shines all year round.

",within an hour,99%,99%,"['email', 'phone']",De Baarsjes - Oud-West,Private room in bed and breakfast,Private room,2,0 baths,2,$79.00 ,278,4.44,4.44,4.37,4.76,4.67,4.48,4.29
5444330,24865141,Alexander & Suzanne,"I love to sport (cycling and running) and to be with friends, preferable outside.  When outside is no option, I like playing board- and card games. During the week I work as a  freelance project manager. 
Now having a baby, I see walking with the stroller as an alternative option to exercise (lightly)... :-)",N/A,N/A,N/A,"['email', 'phone']",De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,4,1.5 baths,1,,3,4.67,4.33,5,5,5,5,4.67
849844295407963052,37200357,Claudio,,within an hour,100%,50%,"['email', 'phone']",De Baarsjes - Oud-West,Entire home,Entire home/apt,4,1 bath,2,$322.00 ,2,5,5,5,5,5,5,5
962788186099206822,204553722,Fabian,"Welcome to my AirBnb profile!
I'm Fabian, your friendly host and devoted Account Manager. As a local, I'm all about curating experiences that go beyond tourist traps. When I'm not working, you can find me exploring the hidden gems of Amsterdam, for the latest foodie hotspots, cafes,  and cultural gems. Having lived for +12 years in the city, still It never ceases to amaze me. 
Cant wait to host you and share the best of my city with you!",within a few hours,100%,88%,"['email', 'phone']",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.5 baths,1,$262.00 ,3,5,5,5,5,5,4.67,5
1034137049035142236,16451152,Feride,,N/A,N/A,N/A,"['email', 'phone']",Bos en Lommer,Entire rental unit,Entire home/apt,4,1 bath,2,$240.00 ,0,,,,,,,
1224695,6673713,Nynke,Be my guest!,within a few hours,100%,60%,"['email', 'phone']",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.5 baths,1,$201.00 ,75,4.76,4.84,4.46,4.91,4.93,4.68,4.52
503629,2483843,Alban,"I am the male half of a couple working in classical music. Traveling a lot, offering our gorgeous apartment when abroad.",N/A,N/A,N/A,"['email', 'phone']",Zuid,Entire rental unit,Entire home/apt,5,1 bath,3,$120.00 ,11,4.82,5,4.73,5,5,4.73,4.82
869991205278054197,9514809,Caesar,,within a few hours,100%,63%,"['email', 'phone', 'work_email']",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,4,1 bath,4,$250.00 ,4,5,5,4.75,5,5,5,5
20226379,17188839,Nina,Originally from Sweden and love to travel. Living in Amsterdam and renting out my home together with my husband. ,within a few hours,100%,100%,"['email', 'phone']",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,4,2 baths,2,$370.00 ,31,4.74,4.77,4.65,4.61,4.68,4.77,4.52
